Device Name,Port,Description,PID,VID,SN,Operational_State
DRE-9364-1,"""Fan 1""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A,DOWN
DRE-9364-1,"""Fan 2""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A,DOWN
DRE-9364-1,"""Fan 3""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A,DOWN
DRE-9364-1,"""Fan 4""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A,DOWN
DRE-9364-1,Ethernet1/1/1,CISCO,QSFP-40G-SR4,N/A,FIS181101RE,UP
DRE-9364-1,Ethernet1/1/2,CISCO,QSFP-40G-SR4,N/A,FIS181101RE,UP
DRE-9364-1,Ethernet1/1/3,CISCO,QSFP-40G-SR4,N/A,FIS181101RE,DOWN
DRE-9364-1,Ethernet1/1/4,CISCO,QSFP-40G-SR4,N/A,FIS181101RE,DOWN
DRE-9364-1,Ethernet1/5,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2125G184,UP
DRE-9364-1,Ethernet1/6,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351380,UP
DRE-9364-1,Ethernet1/9,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2628A0CP,DOWN
DRE-9364-1,Ethernet1/10,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2628A0B5,UP
DRE-9364-1,Ethernet1/13,CISCO,QSFP-40G-SR4,N/A,AVP1648S1FF,UP
DRE-9364-1,Ethernet1/14,CISCO,QSFP-40G-SR4,N/A,FIS190901CX,UP
DRE-9364-1,Ethernet1/15,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2611A2V7,UP
DRE-9364-1,Ethernet1/16,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2611A2PM,UP
DRE-9364-1,Ethernet1/21,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2225S1TG,UP
DRE-9364-1,Ethernet1/22,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2212S0R7,UP
DRE-9364-1,Ethernet1/23,CISCO-FINISAR,SFP-10G-SR,N/A,FNS15491WNV,UP
DRE-9364-1,Ethernet1/24/1,CISCO,QSFP-40G-SR4,N/A,AVP1810S2UG,UP
